variable_id,value,unit,name_fr,name_en,description_fr,description_en
revenue_loss_yearly,400,$,Perte revenus annuelle,Annual revenue loss,Perte de revenus annuelle par pannes et remboursements,Annual revenue loss from breakdowns and refunds
overconsumption_percent,15,%,Surconsommation électrique,Electrical overconsumption,Pourcentage de surconsommation électrique vs LiFePO4 (réaliste),Percentage of electrical overconsumption vs LiFePO4 (realistic)
overconsumption_cost_yearly,180,$,Coût surconsommation annuel,Annual overconsumption cost,Coût annuel de la surconsommation électrique,Annual cost of electrical overconsumption
insurance_increase_yearly,300,$,Majoration assurance annuelle,Annual insurance increase,Majoration annuelle assurance matières dangereuses,Annual insurance increase for hazardous materials

# CONSTANTES TECHNIQUES - Valeurs réalistes Canada 2024
# technician_hourly_rate supprimé - utiliser lead_technician_hourly_rate

# TOUTES LES VARIABLES DÉRIVÉES SUPPRIMÉES - Calculées par formulas.csv :
# - lead_replacements_*y = FLOOR(durée / lead_replacement_cycle_years)
# - lead_total_*y = formule complète depuis variables de base
# - lifepo4_total_*y = monthly * 12 * durée
# - savings_*y = lead_total - lifepo4_total

# TEMPLATES DYNAMIQUES POUR DATA (remplacés par script.js)
lead_replacement_calculation_10y,dynamic,text,Calcul remplacement 10 ans,10-year replacement calculation,Calcul dynamique depuis formules,Dynamic calculation from formulas
autonomy_degradation_5y,50,%,Dégradation autonomie 5 ans,5-year autonomy degradation,Pourcentage de perte d'autonomie après 5 ans (plomb),Percentage of autonomy loss after 5 years (lead)
performance_until_discharge,95,%,Performance jusqu'à décharge,Performance until discharge,Pourcentage de performance maintenue jusqu'à décharge (LiFePO4),Percentage of performance maintained until discharge (LiFePO4)

# PARAMÈTRES INTERFACE UTILISATEUR - Calculateur dynamique
cart_count_default,10,units,Nombre voiturettes par défaut,Default cart count,Nombre de voiturettes initial dans le calculateur,Default number of carts in calculator
cart_count_min,10,units,Minimum voiturettes,Minimum cart count,Nombre minimum de voiturettes dans calculateur,Minimum number of carts in calculator
cart_count_max,100,units,Maximum voiturettes,Maximum cart count,Nombre maximum de voiturettes dans calculateur,Maximum number of carts in calculator
technician_rate_min,25,$,Taux technicien minimum,Minimum technician rate,Taux horaire minimum pour technicien,Minimum hourly rate for technician
technician_rate_max,200,$,Taux technicien maximum,Maximum technician rate,Taux horaire maximum pour technicien,Maximum hourly rate for technician
