id;name_fr;name_en;price;description_fr;description_en;summary_fr;summary_en;images;multipliers;metals_fr;metals_en;coin_lots;languages;customizable;triptych_options;triptych_type;category
cards-adventure-packs-70;"Paquetages d'Aventure";"Adventure Packs";25;"### Équipement par background - 70 cartes\n\nCollection complète de **70 cartes** regroupant tout l'équipement de départ selon les historiques D&D 5e. Idéal pour créer rapidement des personnages ou distribuer du matériel thématique.\n\n**Contenu :**\n- **Paquetage d'artiste** : instruments et matériel créatif\n- **Paquetage d'ecclésiastique** : objets religieux et sacrés\n- **Paquetage d'explorateur** : survie et navigation\n- **Paquetage d'exploration souterraine** : spéléologie et donjons\n- **Paquetage d'érudit** : livres et outils d'étude\n- **Paquetage de cambrioleur** : crochetage et infiltration\n- **Paquetage de diplomate** : négociation et relations sociales\n\n*Personnalisez instantanément selon l'origine de vos héros !*";"### Equipment by background - 70 cards\n\nComplete collection of **70 cards** grouping all starting equipment according to D&D 5e backgrounds. Perfect for quickly creating characters or distributing thematic gear.\n\n**Contents:**\n- **Artist's pack** : instruments and creative materials\n- **Ecclesiastic's pack** : religious and sacred objects\n- **Explorer's pack** : survival and navigation\n- **Dungeoneering pack** : spelunking and dungeon gear\n- **Scholar's pack** : books and study tools\n- **Burglar's pack** : lockpicking and infiltration\n- **Diplomat's pack** : negotiation and social relations\n\n*Instantly customize based on your heroes' origins!*";"Collection de 70 cartes d'équipement organisées par paquetages d'historiques D&D.";"Collection of 70 equipment cards organized by D&D background packs.";/media/products/cards/sac-aa-dos-recto.webp;;;;;;FAUX;;;cards
cards-explosives-tools-60;"Explosifs & Outils";"Explosives & Tools";22;"### Arsenal spécialisé - 60 cartes\n\nCollection technique de **60 cartes** pour les campagnes avancées : explosifs, armes futuristes et outils d'artisan.\n\n**Contenu :**\n- **21 explosifs** : bombes, grenades, dynamite, charges modernes et futuristes\n- **37 outils** : artisanat, alchimie, crochetage, navigation\n- **2 cartes règles** : mécaniques d'explosion et d'artisanat\n\n*Pour les aventuriers qui aiment les solutions créatives !*";"### Specialized arsenal - 60 cards\n\nTechnical collection of **60 cards** for advanced campaigns: explosives, futuristic weapons and artisan tools.\n\n**Contents:**\n- **21 explosives** : bombs, grenades, dynamite, modern and futuristic charges\n- **37 tools** : crafting, alchemy, lockpicking, navigation\n- **2 rule cards** : explosion and crafting mechanics\n\n*For adventurers who love creative solutions!*";"Collection de 60 cartes d'explosifs et outils spécialisés pour campagnes techniques.";"Collection of 60 explosive and specialized tool cards for technical campaigns.";/media/products/cards/bombe-recto.webp|/media/products/cards/mataerield-alchimiste-recto.webp;;;;;;FAUX;;;cards
cards-services-vehicles-85;"Services & Véhicules";"Services & Vehicles";29;"### Voyage et logistique - 85 cartes\n\nCollection complète de **85 cartes** pour organiser voyages et missions : services d'auberge, transport et tous types de véhicules.\n\n**Contenu :**\n- **55 services** : auberges, soins, trains de vie, mercenaires, passeurs\n- **27 véhicules** : montures, terrestres, marins, aériens\n- **3 cartes règles** : mécaniques de voyage et logistique\n\n*Tout pour voyager et s'organiser en campagne !*";"### Travel and logistics - 85 cards\n\nComplete collection of **85 cards** to organize travels and missions: inn services, transport, and all types of vehicles.\n\n**Contents:**\n- **55 services** : inns, care, lifestyles, mercenaries, guides\n- **27 vehicles** : mounts, land, sea, air\n- **3 rule cards** : travel and logistics mechanics\n\n*Everything to travel and organize in campaigns!*";"Collection de 85 cartes de services et véhicules pour organiser voyages et missions.";"Collection of 85 service and vehicle cards to organize travels and missions.";/media/products/cards/biaere-chope-recto.webp|/media/products/cards/vaisseau-aaerien-recto.webp;;;;;FR|EN;FAUX;;;cards
cards-loot-engineering-170;"Butins & Ingénieries";"Loot & Engineering";54;"### Butin • Marchandises • Outils - 170 cartes\n\nPour des campagnes qui osent : trésors variés, biens commerciaux et les indispensables de l'artisan.\n\n**Contenu :**\n- **104 butins** : trésors, gemmes, artefacts, objets précieux\n- **27 marchandises** : biens de commerce, matières premières\n- **37 outils** : artisanat, crochetage, alchimie, navigation\n- **2 cartes règles** : mécaniques de commerce et d'artisanat\n\n*Injecte de la variété et des choix tactiques — du troc de marché aux découvertes de trésors !*";"### Loot • Trade Goods • Tools - 170 cards\n\nFor campaigns that push the envelope: varied treasures, commercial goods, and every crafter's staple.\n\n**Contents:**\n- **104 loot items** : treasures, gems, artifacts, precious objects\n- **27 trade goods** : commercial goods, raw materials\n- **37 tools** : crafting, lockpicking, alchemy, navigation\n- **2 rule cards** : trade and crafting mechanics\n\n*Add variety and tactical choices — from market bartering to treasure discoveries!*";"Collection de 170 cartes de butins, marchandises et outils pour enrichir vos campagnes.";"Collection of 170 loot, trade goods, and tool cards to enrich your campaigns.";/media/products/cards/alexandrite-recto.webp|/media/products/cards/chaevre-recto.webp|/media/products/cards/mataerield-alchimiste-recto.webp;;;;;FR|EN;FAUX;;;cards
cards-roads-services-165;"Routes & Services";"Roads & Services";56;"### Paquetages • Services • Véhicules • Poisons - 165 cartes\n\nTout pour mettre le monde en mouvement : préparez vos PJ, voyagez, négociez et prenez des risques avec des cartes claires et pratiques.\n\n**Contenu :**\n- **65 paquetages** : 7 types selon les historiques D&D\n- **55 services** : auberges, soins, trains de vie, mercenaires\n- **27 véhicules** : montures, terrestres, marins, aériens\n- **14 poisons** : substances dangereuses et toxiques\n- **4 cartes règles** : mécaniques de voyage, services et poisons\n\n*Parfait pour les campagnes orientées exploration, voyage et intrigue !*";"### Packs • Services • Vehicles • Poisons - 165 cards\n\nEverything to set your world in motion: ready your PCs, travel, bargain, and take risks with clean, table-friendly cards.\n\n**Contents:**\n- **65 packs** : 7 types according to D&D backgrounds\n- **55 services** : inns, care, lifestyles, mercenaries\n- **27 vehicles** : mounts, land, sea, air\n- **14 poisons** : dangerous and toxic substances\n- **4 rule cards** : travel, services, and poison mechanics\n\n*Perfect for exploration-, travel- and intrigue-heavy campaigns!*";"Sélection complète de 165 cartes dédiées aux voyages, services, véhicules et poisons.";"Complete selection of 165 cards focused on travel, services, vehicles, and poisons.";/media/products/cards/sac-aa-dos-recto.webp|/media/products/cards/biaere-chope-recto.webp|/media/products/cards/vaisseau-aaerien-recto.webp|/media/products/cards/sang-d-assassin-recto.webp;;;;;FR|EN;FAUX;;;cards
cards-adventurer-arsenal-190;"Arsenal de l'Aventurier";"Adventurer's Arsenal";63;"### Armes • Armures • Équipement - 190 cartes\n\nLot massif et prêt-à-jouer pour équiper tout un groupe : armes classiques et exotiques, protections pour chaque style, et l'essentiel d'aventure en cartes illustrées.\n\n**Contenu :**\n- **44 armes** : mêlée, distance, exotiques, armes à feu modernes\n- **14 armures** : légères, intermédiaires, lourdes, boucliers\n- **127 équipements** : outils d'aventure, survie, artisanat\n- **5 cartes règles** : maîtriser équipement et mécaniques\n\n*Idéal pour la table : pioche, pose, échange — fini la fouille dans le manuel !*";"### Weapons • Armor • Equipment - 190 cards\n\nMassive, ready-to-play bundle to outfit an entire party: classic and exotic weapons, protection for every build, and all the adventuring essentials as illustrated cards.\n\n**Contents:**\n- **44 weapons** : melee, ranged, exotic, modern firearms\n- **14 armor** : light, medium, heavy, shields\n- **127 equipment** : adventure tools, survival, crafting\n- **5 rule cards** : master equipment and mechanics\n\n*Perfect at the table: draw, place, trade — no more digging through the rulebook!*";"Boîte massive de 190 cartes illustrées pour équiper immédiatement tout un groupe d'aventuriers.";"Massive box of 190 illustrated cards to instantly outfit an entire party of adventurers.";/media/products/cards/arme-recto.webp|/media/products/cards/arme-verso.webp|/media/products/cards/greatclub-recto.webp|/media/products/cards/armure-recto.webp;;;;;FR|EN;FAUX;;;cards
triptych-mystery-hero;"Triptyques Mystères";"Mystery Triptychs";60;"### Trois triptyques, un héros clé en main

Tire au sort **1 Classe**, **1 Espèce** et **1 Historique** pour forger une origine unique, puis joue immédiatement avec :

**Inclus :**
- 1 triptyque Classe aléatoire
- 1 triptyque Espèce aléatoire
- 1 triptyque Historique aléatoire

*Fini la fouille dans le manuel.*";"### Three triptychs, a plug-and-play hero

Draw at random **1 Class**, **1 Species** and **1 Background** to forge a unique origin, then play right away with:

**Included:**
- 1 random Class triptych
- 1 random Species triptych
- 1 random Background triptych

*No more digging through the rulebook.*";"Lot de triptyques aléatoires pour créer un héros complet avec équipement assorti et pièces de départ.";"Bundle of random triptychs to build a complete hero with matching gear and starting coins.";/media/game/triptychs/examples/race-aasimar-recto.webp|/media/game/triptychs/examples/classe-barbare-recto.webp|/media/game/triptychs/examples/historique-acolyte-recto.webp|/media/game/triptychs/examples/race-aasimar-verso.webp;;;;;;FAUX;;;triptychs
triptych-species-collection;"Triptyques Especes";"Species Triptychs";45;"### Collection complète des triptyques d'espèces

Découvrez toutes les espèces jouables de D&D 5e avec des triptyques détaillés et illustrés. Chaque triptyque présente les caractéristiques, capacités spéciales et traits culturels de l'espèce.

**Contenu :**
- Triptyques de toutes les espèces officielles
- Caractéristiques détaillées
- Capacités spéciales illustrées

*Parfait pour créer des personnages variés ou enrichir vos campagnes !*";"### Complete collection of species triptychs

Discover all playable D&D 5e species with detailed and illustrated triptychs. Each triptych presents the characteristics, special abilities, and cultural traits of the species.

**Contents:**
- Triptychs of all official species
- Detailed characteristics
- Illustrated special abilities

*Perfect for creating varied characters or enriching your campaigns!*";"Collection de triptyques présentant toutes les espèces jouables avec leurs caractéristiques et capacités.";"Collection of triptychs featuring all playable species with their characteristics and abilities.";/media/game/triptychs/examples/race-aasimar-recto.webp|/media/game/triptychs/examples/race-aasimar-verso.webp;;;;;FR|EN;VRAI;"Aasimar|Drakéide d'Airain|Drakéide d'Argent|Drakéide Blanc|Drakéide Bleu|Drakéide de Bronze|Drakéide de Cuivre|Drakéide Noir|Drakéide d'Or|Drakéide Rouge|Drakéide Vert|Elfe - Drows|Elfe - Elfe sylvestre|Elfe - Haut-elfe|Gnome des forêts|Gnome des roches|Goliath - Géants du feu|Goliath - Géants des pierres|Goliath - Géants du givre|Goliath - Géants des collines|Goliath - Géants des nuages|Goliath - Géants des tempêtes|Halfelin|Humain - Bagarreur de tavernes|Humain - Chanceux|Humain - Doué|Humain - Façonneur|Humain - Guérisseur|Humain - Initié à la magie|Humain - Musicien|Humain - Robuste|Humain - à la Sauvagerie Martiale|Humain - Vigilant|Nain|Orc|Tieffelin - Abyssal|Tieffelin - Chthonien|Tieffelin - Infernal";species;triptychs
triptych-class-collection;"Triptyques Classes";"Class Triptychs";55;"### Collection complète des triptyques de classes

Explorez toutes les classes et sous-classes de D&D 5e avec des triptyques complets. Chaque triptyque détaille les capacités, sorts, et progressions de classe avec des exemples visuels.

**Contenu :**
- Triptyques de toutes les classes officielles
- Sous-classes et archétypes
- Progressions et capacités détaillées

*Idéal pour comprendre les mécaniques de classe ou préparer des PNJ !*";"### Complete collection of class triptychs

Explore all D&D 5e classes and subclasses with complete triptychs. Each triptych details class abilities, spells, and progressions with visual examples.

**Contents:**
- Triptychs of all official classes
- Subclasses and archetypes
- Detailed progressions and abilities

*Ideal for understanding class mechanics or preparing NPCs!*";"Collection de triptyques couvrant toutes les classes et sous-classes avec leurs capacités et progressions.";"Collection of triptychs covering all classes and subclasses with their abilities and progressions.";/media/game/triptychs/examples/classe-barbare-recto.webp|/media/game/triptychs/examples/classe-barbare-verso.webp;;;;;FR|EN;VRAI;"Barbare - Voie de l'Arbre-Monde|Barbare - Voie du Berserker|Barbare - Voie du Cœur sauvage|Barbare - Voie du Zélateur|Barde - Collège de la Danse|Barde - Collège du Savoir|Barde - Collège de la Séduction|Barde - Collège de la Vaillance|Clerc - Domaine de la Guerre|Clerc - Domaine de la Lumière|Clerc - Domaine de la Ruse|Clerc - Domaine de la Vie|Druide - Cercle des Astres|Druide - Cercle de la Lune|Druide - Cercle des Mers|Druide - Cercle de la Terre|Ensorceleur - Sorcellerie aberrante|Ensorceleur - Sorcellerie draconique|Ensorceleur - Sorcellerie mécanique|Ensorceleur - Sorcellerie sauvage|Guerrier - Champion|Guerrier - Chevalier occulte|Guerrier - Maître de guerre|Guerrier - Soldat psi|Magicien - Abjurateur|Magicien - Devin|Magicien - Évocateur|Magicien - Illusionniste|Moine - Credo des Éléments|Moine - Credo de la Miséricorde|Moine - Credo de l'Ombre|Moine - Credo de la Paume|Occultiste - Protecteur Archifée|Occultiste - Protecteur Céleste|Occultiste - Protecteur Fiélon|Occultiste - Protecteur Grand Ancien|Paladin - Serment des Anciens|Paladin - Serment de Dévotion|Paladin - Serment de Gloire|Paladin - Serment de Vengeance|Rôdeur - Belluaire|Rôdeur - Chasseur|Rôdeur - Traqueur des ténèbres|Rôdeur - Vagabond féerique|Roublard - Âme acérée|Roublard - Arnaqueur arcanique|Roublard - Assassin|Roublard - Voleur";class;triptychs
triptych-background-collection;"Triptyques Historiques";"Background Triptychs";35;"### Collection complète des triptyques d'historiques

Enrichissez vos personnages avec tous les historiques disponibles en D&D 5e. Chaque triptyque présente l'origine, les compétences, équipements et contacts de l'historique.

**Contenu :**
- Triptyques de tous les historiques officiels
- Compétences et équipements détaillés
- Contacts et relations sociales

*Parfait pour donner de la profondeur à vos personnages !*";"### Complete collection of background triptychs

Enrich your characters with all available D&D 5e backgrounds. Each triptych presents the origin, skills, equipment, and contacts of the background.

**Contents:**
- Triptychs of all official backgrounds
- Detailed skills and equipment
- Contacts and social relations

*Perfect for adding depth to your characters!*";"Collection de triptyques présentant tous les historiques avec leurs compétences et équipements.";"Collection of triptychs featuring all backgrounds with their skills and equipment.";/media/game/triptychs/examples/historique-acolyte-recto.webp|/media/game/triptychs/examples/historique-acolyte-verso.webp;;;;;FR|EN;VRAI;Acolyte|Artisan|Artiste|Charlatan|Criminel|Ermite|Fermier|Garde|Guide|Marchand|Marin|Noble|Sage|Scribe|Soldat|Voyageur;background;triptychs
